Imagen,Traslación X,Traslación Y,Centro Masa X,Centro Masa Y,µ00,µ10,µ01,µ11,µ20,µ02
apple-1.png,0,0,114.31210438841543,122.52936808232258,7211145.0,0,0,-594445.2026945788,64175355.36666772,65347883.359806746
apple-1.png,50,0,163.83037713716988,122.51135676962997,7173915.0,0,0,-641724.8054953277,62910666.55969902,65324881.62151249
apple-1.png,0,50,114.286003470214,170.60269664545982,7054320.0,0,0,-660128.5358588777,63861947.14054438,60622610.23883059
apple-1.png,50,50,163.79337161130897,170.57406061487026,7017090.0,0,0,-733683.8913438469,62596401.11098249,60597100.564466916
bat-1.png,0,0,302.94293526785714,304.0129799107143,22848000.0,0,0,800457883.366291,1258363677.2279634,1326215005.90435
bat-1.png,50,0,350.2054905673135,302.2354114544594,22627170.0,0,0,755750801.5075406,1189544785.08499,1296965839.4901683
bat-1.png,0,50,302.94293526785714,354.0129799107143,22848000.0,0,0,800457883.366291,1258363677.2279634,1326215005.90435
bat-1.png,50,50,350.2054905673135,352.2354114544594,22627170.0,0,0,755750801.5075406,1189544785.08499,1296965839.4901683
beetle-1.png,0,0,255.05569286538145,363.1822211237436,15475950.0,0,0,-344839530.90739834,617486077.7580901,743989111.8165922
beetle-1.png,50,0,301.4104063577748,363.8488362406491,15305355.0,0,0,-331654986.3831153,545054627.4601911,741524023.4911828
beetle-1.png,0,50,255.5723521708138,411.6272897568092,15382365.0,0,0,-336828050.80613387,614808676.9691447,719858939.3555775
beetle-1.png,50,50,301.91043349984915,412.2805679417977,15211770.0,0,0,-324006993.9254867,542600758.446182,717517875.134375
bell-1.png,0,0,125.43600878262991,142.71027079775556,5226225.0,0,0,10857037.02015128,34510219.8255185,43040251.58799691
bell-1.png,50,0,171.2064539224711,142.1491254986192,4986270.0,0,0,9863523.98036208,26832147.54551462,42792181.15004529
bell-1.png,0,50,126.21292153224927,183.82232893157263,4673130.0,0,0,12304439.272509001,32921619.180180855,29179423.503001664
bell-1.png,50,50,171.4977279263733,182.71009490940466,4433175.0,0,0,10546109.548748946,25334770.160253286,28646620.87834377
bird-1.png,0,0,188.95522327082568,125.94678677942558,12483270.0,0,0,46792913.35662035,406712555.84941083,178930332.37956616
bird-1.png,50,0,231.9818512180178,127.03272696541379,12069405.0,0,0,57548935.11246328,337017613.4102015,176868020.3059297
bird-1.png,0,50,187.91746107576384,166.93706977047188,11743005.0,0,0,39769630.802197546,404545961.26955247,115462027.62819558
bird-1.png,50,50,230.4505266948771,167.76483298820563,11329140.0,0,0,47506281.102908105,333988750.25767154,114219516.97505473
crown-1.png,0,0,340.11663131441935,271.81538662503186,40994565.0,0,0,-432031829.49921924,2714856589.162873,2114264463.859676
crown-1.png,50,0,389.8893558469374,272.0049684336359,40956570.0,0,0,-424565276.7059649,2705904822.742701,2108027054.035069
crown-1.png,0,50,340.9709224385573,316.2096074050431,39945750.0,0,0,-402329663.2382704,2704309114.551751,1921462330.541136
crown-1.png,50,50,390.7384872940109,316.39883451223955,39907755.0,0,0,-395093077.8999173,2695419450.0694704,1915561793.5473921
frog-1.png,0,0,134.8282390674741,155.40728595705977,10653645.0,0,0,50842944.68402786,146255333.4435482,192309967.62214664
frog-1.png,50,0,177.21015381470693,152.8182840206449,9980190.0,0,0,38477283.61393023,110142652.48487316,186103385.6359485
frog-1.png,0,50,132.20460447608767,186.4118934376003,8739105.0,0,0,41623209.80321556,122644859.31341332,122333105.71223699
frog-1.png,50,50,174.41588013581284,183.09475749929913,8186265.0,0,0,28373646.892626848,91710458.58430618,115526485.74768917
Misk-1_1.png,0,0,168.2407527029746,195.05212161003038,24080415.0,0,0,45324023.01519592,576833333.48731,1024682255.4574703
Misk-1_1.png,50,0,204.36522054606948,195.60558006717613,21788985.0,0,0,52717821.66284363,402477533.5624257,957781887.2594013
Misk-1_1.png,0,50,165.61250317251563,229.25759673288573,22103910.0,0,0,1038233.4166609138,546433397.3690523,759962623.1224775
Misk-1_1.png,50,50,200.94618237626295,229.20331244404656,19938450.0,0,0,163702.5387645273,373346033.53543806,708899222.9420538
octopus-1.png,0,0,127.47738898477954,127.38776086615408,8125575.0,0,0,-1635533.6182959233,78096545.95876393,111625884.8267363
octopus-1.png,50,0,172.62578231067255,125.69118182721282,7700745.0,0,0,-6783540.954170669,64423055.965892114,105961813.96172081
octopus-1.png,0,50,127.95446200367184,163.42467331437416,7083645.0,0,0,118529.2117426832,65253167.394435,68985031.12891096
octopus-1.png,50,50,173.6221490979235,161.86712810620674,6741945.0,0,0,-3783084.39021901,54927279.26948784,65005832.2210446
pocket-1.png,0,0,72.84741223307998,113.41882012305464,3522825.0,0,0,-411526.12718060316,19574400.34498735,38722928.70676971
pocket-1.png,50,0,102.97897366503591,109.64723639013219,2449785.0,0,0,-3275306.2582491967,6369281.752680338,30308711.484126676
pocket-1.png,0,50,72.86956088818083,139.25440605396793,2560965.0,0,0,-406623.72806930245,15062641.124763474,16586182.992532067
pocket-1.png,50,50,102.13487031700288,132.7850144092219,1769700.0,0,0,-4228164.773487036,4808063.761383264,11780825.241498468
